CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
DLAGU6,POZO SAN GIL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,-102.0221,22.20887,229.99,Alta,940.0,Permisible para riego,603.6,Potable - Dulce,0.9766,Potable - Optima,213.732,Potable - Dura,1.1,Potable - Excelente,4.184656,Potable - Excelente,0.0161,Apta como FAAP,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.0891,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU6516,POZO R013 CAÑADA HONDA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE CHICALOTE,POZO,-102.20075,21.99958,231.99,Alta,608.0,Buena para riego,445.4,Potable - Dulce,0.9298,Potable - Optima,185.0514,Potable - Dura,1.1,Potable - Excelente,5.75011,Potable - Buena calidad,0.0134,Apta como FAAP,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU9,POZO EL SALITRILLO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCON DE ROMOS,VALLE DE AGUASCALIENTES,POZO,-102.29449,22.18435,327.0,Alta,686.0,Buena para riego,478.6,Potable - Dulce,1.1229,Potable - Optima,199.879,Potable - Dura,1.1,Potable - Excelente,1.258597,Potable - Excelente,0.0154,Apta como FAAP,0.003,Potable - Excelente,0.005,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ110,"POZO 26, SAN JUAN",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,POZO,-110.21396,23.4746,203.67,Alta,531.0,Buena para riego,278.8,Potable - Dulce,0.289,Baja,166.2528,Potable - Dura,110.0,Buena calidad,4.68647,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ117,LAS PARRITAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.088778,23.799861,343.655,Alta,1114.0,Permisible para riego,672.0,Potable - Dulce,0.3421,Baja,403.8482,Potable - Dura,146.0,Buena calidad,1.877325,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0113,Potable - Excelente,0.1615,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,LOS PLANES,POZO,-109.907091,23.94632,136.53,Media,1329.0,Permisible para riego,671.2,Potable - Dulce,0.4925,Media,222.8128,Potable - Dura,355.0,Aceptable,5.625327,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0053,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ122,EL TRIUNFO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LA PAZ,EL CARRIZAL,POZO,-110.108253,23.807347,247.52,Alta,1668.0,Permisible para riego,931.2,Potable - Dulce,0.6351,Media,198.94,Potable - Dura,1.1,Potable - Excelente,0.165785,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0808,Potable - Excelente,0.1992,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ129,"SP. A.P. 1, L. 9, COL. SIN.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.72009,25.13549,204.765,Alta,928.0,Permisible para riego,512.6667,Potable - Dulce,0.4116,Media,187.248,Potable - Dura,1.1,Potable - Excelente,9.224505,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ130,L. 16-17 COL. LAGUNA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,SANTO DOMINGO,POZO,-111.8038,25.2401,244.185,Alta,1593.0,Permisible para riego,789.3333,Potable - Dulce,0.6076,Media,199.2,Potable - Dura,1.1,Potable - Excelente,3.146125,Potable - Excelente,0.01,Potable - Excelente,0.003,Potable - Excelente,0.0104,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0015,Potable - Excelente,0.025,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ148,"RANCHO AGUA DULCE, GVO. GLEZ.",PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LORETO,SAN JUAN B. LONDO,POZO,-111.4857,26.2279,249.66,Alta,1153.0,Permisible para riego,678.0,Potable - Dulce,0.2563,Baja,241.4624,Potable - Dura,10.0,Buena calidad,8.444545,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0051,Potable - Excelente,0.0564,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLBAJ157,MULEGE 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,MULEGE,POZO,-112.00146,26.88679,189.435,Alta,1584.0,Permisible para riego,890.6,Potable - Dulce,0.3542,Baja,287.2224,Potable - Dura,1.1,Potable - Excelente,8.844383,Potable - Buena calidad,0.01,Potable - Excelente,0.003,Potable - Excelente,0.004,Potable - Excelente,0.0004,Potable - Excelente,0.004,Potable - Excelente,0.0021,Potable - Excelente,0.0373,Potable - Excelente,Verde,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
